# timestamp tx ty tz qx qy qz qw
1403715886.739058017731 1.219144565557 1.186923483421 0.116105351322 0.000000000458 0.013475013412 -0.063946909293 0.002244928658
1403715886.839057922363 2.923925534208 -1.180819421965 -0.503824331085 0.000000000491 0.004382037021 -0.092648346475 0.003142230624
1403715886.889058113098 3.270613805236 -1.728227779928 -0.726878289874 0.000000000535 -0.074264759303 -0.072355592129 0.003039196672
1403715886.889058113098 2.396797175730 -1.063836991378 -0.525482399067 0.000000000598 -0.237582742655 0.007335266970 0.002235337866
1403715886.914057970047 2.025758159155 -0.732808075758 -0.451047987069 0.000000000717 -0.473583101260 0.131489868708 -0.000199226212
1403715886.964057922363 1.922103584821 -0.685906773225 -0.485393451399 0.000000000876 -0.745062696925 0.268780266039 -0.004262250801
1403715887.014058113098 1.674754650345 -0.568901311716 -0.467403447314 0.000000001063 -1.010429246744 0.404638048360 -0.009272780482
1403715887.064058065414 1.366546911455 -0.438237574342 -0.425132329807 0.000000001248 -1.242447449885 0.530943790537 -0.014698260330
1403715887.114058017731 1.065426083064 -0.317769596428 -0.386080156458 0.000000001420 -1.429564123427 0.644625837318 -0.020025712141
1403715887.164057970047 0.801887061198 -0.226910133863 -0.360718819018 0.000000001577 -1.573160301106 0.744958756587 -0.025059561227
1403715887.214057922363 0.584940214413 -0.163651585805 -0.355071333503 0.000000001724 -1.679214908057 0.832800529409 -0.029744089571
1403715887.264058113098 0.409452257942 -0.121985230077 -0.369102453978 0.000000001870 -1.754657959914 0.909294333487 -0.034164979772
1403715887.314058065414 0.266008615701 -0.094306650251 -0.400365803366 0.000000002021 -1.805230292515 0.975544227001 -0.038467458377
1403715887.364058017731 0.145337849540 -0.074738216029 -0.444180465178 0.000000002180 -1.835266065563 1.032402211193 -0.042812991232
1403715887.414057970047 0.039869409307 -0.059567837650 -0.495087794362 0.000000002349 -1.847973382463 1.080535401114 -0.047323290542
1403715887.464057922363 -0.055796149399 -0.046512844358 -0.547241673220 0.000000002531 -1.845840284951 1.120753035782 -0.052056794643
1403715887.514058113098 -0.144847654934 -0.033675372316 -0.595856090523 0.000000002730 -1.830821039236 1.154062510807 -0.056992689854
1403715887.564058065414 -0.228464835737 -0.018874971226 -0.638053106616 0.000000002948 -1.804504949193 1.181601902641 -0.062052719100
1403715887.614058017731 -0.306385264955 -0.000195197671 -0.672887296214 0.000000003187 -1.768290338257 1.204443878345 -0.067144832215
1403715887.664057970047 -0.377587676773 0.023515617182 -0.700739055253 0.000000003448 -1.723565614362 1.223570162365 -0.072204333732
1403715887.714057922363 -0.440967987317 0.052482629087 -0.722444417759 0.000000003728 -1.671774146109 1.239887543362 -0.077213021669
1403715887.764058113098 -0.495527513313 0.086041578652 -0.738642849606 0.000000004026 -1.614372903569 1.254232937746 -0.082195696369
1403715887.814058065414 -0.540707923768 0.123126174111 -0.749678237860 0.000000004338 -1.552819160560 1.267336147395 -0.087198629470
1403715887.864058017731 -0.576382292338 0.162586698353 -0.755876118655 0.000000004660 -1.488478619109 1.279762360010 -0.092267890903
1403715887.914057970047 -0.602833086980 0.203004261977 -0.757534614273 0.000000004986 -1.422633465347 1.291846929722 -0.097437849426
